date	hospitalizations
2013-35	2
2013-36	2
2013-37	0
2013-38	0
2013-39	1
2013-40	1
2013-41	0
2013-42	1
2013-43	0
2013-44	4
2013-45	6
2013-46	6
2013-47	20
2013-48	12
2013-49	37
2013-50	53
2013-51	181
2013-52	181
2014-1	229
2014-2	420
2014-3	387
2014-4	293
2014-5	236
2014-6	198
2014-7	100
2014-8	103
2014-9	101
2014-10	136
2014-11	42
2014-12	48
2014-13	43
2014-14	22
2014-15	30
2014-16	20
2014-17	21
2014-18	36
2014-19	13
2014-20	9
2014-21	16
2014-22	16
2014-23	26
2014-24	26
2014-25	12
2014-26	12
2014-27	14
2014-28	14
2014-29	4
2014-30	4
2014-31	1
2014-32	1
2014-33	1
2014-34	1
